NCIS Characters (ALL VERSIONS)
Leroy Jethro Gibbs
Caitlin Todd
Anthony DiNozzo
Abby Sciuto
Donald "Ducky" Mallard
Timothy McGee
Ziva David
Jenny Shepard
Leon Vance
Jimmy Palmer
Ellie Bishop
Emily Fornell
Thomas Morrow
Tobias C. Fornell
Delilah Fielding
Jake Malloy
Cyril Taft
Mike Franks
Stan Burley
Jeanne Benoit
Abigail Borin
Diane Sterling
Ned Dorneget
Jackson Gibbs
Hollis Mann
Eli David
Dwayne "King" Pride
Christopher LaSalle
Meredith Brody
Sebastian Lund
Loretta Wade
Sonja Percy
Patton Plame
Laurel Pride
Cade LaSalle
Danny Malloy
C.J. Malloy
G Callen
Kensi Blye
Sam Hanna
Marty Deeks
Eric Beale
Nell Jones
Henrietta "Hetty" Lange
Owen Granger
Nate Getz
Dominic Vail
